gnd,painter_name,cbdd_works,bi_works
https://d-nb.info/gnd/101421745,"Günther (Schwarzburg-Arnstadt, Graf, 41, der Streitbare)",1,4
https://d-nb.info/gnd/100089003,"Christoph (Württemberg, Herzog)",1,2
https://d-nb.info/gnd/129268194,"Verhelst, Placidus",1,4
https://d-nb.info/gnd/143702386,"Günther, Andreas",1,8
https://d-nb.info/gnd/124834078,"Albertina Agnes (Nassau-Diez, Fürstin)",1,32
https://d-nb.info/gnd/119128683,"Schütz, Johann (1741)",1,15
https://d-nb.info/gnd/119485427,"Ring, Ludger tom (der Jüngere)",1,12
https://d-nb.info/gnd/102120390,"Ulrich (Mecklenburg, Herzog, 3)",1,3
https://d-nb.info/gnd/1012386562,"Vogel, Franz Joseph",1,2
https://d-nb.info/gnd/1034741195,"Gertner, Christoph",1,1
https://d-nb.info/gnd/128846690,"Midow, Claus",1,5
https://d-nb.info/gnd/101217882X,"Branden, Johannes Matthaeus van den",1,3
https://d-nb.info/gnd/121773086,"Wintzingeroda, Henrich Jobst von",1,3
https://d-nb.info/gnd/121538443,"Wolffsthal, Philipp Gaston Wolff von",1,1
https://d-nb.info/gnd/137908253,"Welser, Anton",1,1
https://d-nb.info/gnd/123492025,"Ruez, Johann Jakob Willibald",1,66
https://d-nb.info/gnd/123088577,"Grünberg, Martin",1,18
https://d-nb.info/gnd/128737336,"Pallago, Carlo",1,4
https://d-nb.info/gnd/123993040,"La Roche, Emanuel",1,11
https://d-nb.info/gnd/1031777164,"Höchstetter, Joseph",1,5
https://d-nb.info/gnd/189411481,"Metz, Bernhard",1,5
https://d-nb.info/gnd/133498050,"Augusta (Braunschweig-Wolfenbüttel, Herzogin)",1,5
https://d-nb.info/gnd/132691221,"Appiani, Giacomo",1,8
https://d-nb.info/gnd/119539349,"Gabriel, Eustachius",1,46
https://d-nb.info/gnd/1081378387,"Schall von Bell, Ferdinand",1,3
https://d-nb.info/gnd/118662961,"Bibiena, Giuseppe",1,4
https://d-nb.info/gnd/118880527,"Waldberger, Wolfgang (1)",1,9
https://d-nb.info/gnd/134087992,"Sundahl, Jonas Erickson",1,1
https://d-nb.info/gnd/128067802,"Heermann, Georg",1,6
https://d-nb.info/gnd/118788205,"Reichle, Hans",1,4
https://d-nb.info/gnd/1012368459,"Unkair, Jörg",1,46
https://d-nb.info/gnd/101229739X,"Rischer, Johann Jakob",1,18
https://d-nb.info/gnd/129125075,"Kaufmann, Ignaz (1721)",1,6
https://d-nb.info/gnd/1159358761,"Wintzingerode-Bodenstein, Wilko Graf",1,2
https://d-nb.info/gnd/133518094,"Oettl, Benedikt",1,7
https://d-nb.info/gnd/1038562554,"Lubieniecki, Theodor",1,2
https://d-nb.info/gnd/130168319,"Jenisch, Philipp Joseph",1,2
https://d-nb.info/gnd/11896058X,"Fischer, Johann Georg (1673)",1,49
https://d-nb.info/gnd/142750808,"Manskirch, Johann Christoph",1,22
https://d-nb.info/gnd/13999047X,"Räntz, Joh. Gabriel",1,12
