gnd_uri,gnd_id,cbdd_building,cbdd_item_url,bildindex_items_count
https://d-nb.info/gnd/4837686-3,4837686-3,"Ponitz, sog. Renaissanceschloss",https://www.deckenmalerei.eu/bbf923f1-9006-4f71-b0e1-75704698155c,10
https://d-nb.info/gnd/4629677-3,4629677-3,"Mannheim, Kurfürstliches Residenzschloss, Hofkirche Mariä Heimsuchung",https://www.deckenmalerei.eu/77b54b58-9d5e-4615-a619-cd74afe9e19a,9
https://d-nb.info/gnd/4223029-9,4223029-9,"Dresden, Katholische Hofkirche SS. Trinitatis",https://www.deckenmalerei.eu/6bfe426b-4826-4fe2-872b-83291e9cf1a0,9
https://d-nb.info/gnd/4104584-1,4104584-1,"München, Schloss Nymphenburg, Pagodenburg",https://www.deckenmalerei.eu/6367762a-5e89-4698-aa27-dea856fe6323,8
https://d-nb.info/gnd/4549667-5,4549667-5,"Potsdam, Neue Kammern (Sanssouci)",https://www.deckenmalerei.eu/04f6e7bf-a2cb-4566-81a6-c43619495c22,8
https://d-nb.info/gnd/4331548-3,4331548-3,"Potsdam, Chinesisches Teehaus",https://www.deckenmalerei.eu/cec777cd-6a29-4a5f-ae81-27b363222685,8
https://d-nb.info/gnd/4195309-5,4195309-5,"München-Bogenhausen, Filialkirche St. Georg",https://www.deckenmalerei.eu/3cf3aa65-486e-4897-940d-ade7e741fe28,7
https://d-nb.info/gnd/4260789-9,4260789-9,"Eresing, Pfarrkirche St. Ulrich",https://www.deckenmalerei.eu/f9511f30-218b-4418-8b04-8221feb84fc1,7
https://d-nb.info/gnd/4780372-1,4780372-1,"Kromsdorf, Schloss Kromsdorf",https://www.deckenmalerei.eu/9543b9ba-a5fd-4c5c-a357-f61aca70c615,7
https://d-nb.info/gnd/4673505-7,4673505-7,"Pfedelbach, Residenzschloss",https://www.deckenmalerei.eu/18070d3c-184a-4a30-ae26-be0915ac5db6,7
https://d-nb.info/gnd/4195111-6,4195111-6,"München, Stadtpfarrkirche St. Peter",https://www.deckenmalerei.eu/1938b6bc-252f-4283-9cc4-fa22c1089f15,7
