nfdi_uri,label,year,parentLabel,subjects
https://www.deckenmalerei.eu/16927633-0960-41aa-80d8-b8436f7c0841,"Mühlhausen, Rathaus","1270, 1328-1332, 1569, 1595-1596, 1605-1606, 1609, 1738, 1874",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/16f472eb-9d51-44e6-ac5c-e18b9a144507,"Bad Kohlgrub, Votivkapelle St. Rochus","1633, 1733",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/174b5a93-1dc1-4e11-a5ba-7c14c2a2af94,"Hohenfurch, Pfarrkirche Mariä Himmelfahrt","Romanik, 15. Jh., um 1739, 1754",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/178b2e8e-1a7d-41e7-864c-c0c9c4d72f80,"Bad Krozingen, Schlosskapelle","1600-1608, um 1750",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/179fbac9-d7ae-4ccc-9480-e19c709a045b,"Griesheim, ehem. Rittergut",1735,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/17a86c7e-eef7-42d0-be22-15e4293cbbf8,"Mölln, Stadthauptmannshof",1414,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/17db79b9-5d93-432b-9acf-1be49f0b464b,"Hildesheim, Residenzschloss",1728-1754,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/17e6e203-d001-45d9-af96-54a69ad82960,"Grossberghofen, Kuratiekirche St. Georg","1709, 1740, 1774, 1858",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/18070d3c-184a-4a30-ae26-be0915ac5db6,"Pfedelbach, Residenzschloss","1568-1572, 1755",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/183fc3d9-9ffd-43f5-9cfe-8414e85a8b05,"Sande, Haus Gödens",1670-1671,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/188eef43-6dc9-4918-a0b8-f0ee604a8ae3,"Rottenbuch, ehem. Klosterkirche des Augustinerchorherrenstifts","1455, 1735-1745",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/192d757c-7eb5-4288-8e21-eb179390a242,"Passau, Neue Residenz",1707-1771,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1938b6bc-252f-4283-9cc4-fa22c1089f15,"München, Stadtpfarrkirche St. Peter",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/194016b0-8dea-4e07-8f35-007a916f835e,"Wermsdorf, Schloss Hubertusburg, Schlosskapelle",1743-1753,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/19f3bf1c-28c7-4ff6-9b48-505efeca6480,"Inhausen, Filialkirche Mariä Himmelfahrt","1450, 1514, 1761",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1a394607-cf9b-40e0-a1cd-b785f2c1909d,"Greifswald, Domstraße 58",1503,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1a8452f6-c0ea-4564-807e-a2a9636fc8eb,"Garmisch, Pfarrkirche St. Martin",1730-1734,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1aaf1591-48f0-4d56-ba8e-44788e4d5bee,"Rammertshofen, Filialkirche Inventio Crucis","15. Jh., 1715/29",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1ae0dafc-5f04-469f-927c-8054b34c5252,"Reutberg, Klosterkirche Mariä Verkündigung","1606, 1733",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1af187fb-8f81-4fa2-8573-03727173c1a4,"Ratingen, Haus Cromford","um 1784 Vorgängerbau (im Ostflügelaufgegangen), 1787-1790 mindestens Rohbau,  erste Innenausstattung bis 1800",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1b32d49f-0091-43be-aca8-dc58a391a703,"Welda, Haus Welda",1733-1739,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1b55480e-a983-4d4d-b94e-d4f0c26e6f42,"Prem, Pfarrkirche St. Michael","gotisch, 1754-1756",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1b8c3153-49ec-4e29-9df6-e0bee8c1c048,"Eisenhofen, Filialkirche St. Alban","1680, 1885",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1b9d97ce-89dd-475f-8155-15f54eb7d2d8,"Bernbeuren, Pfarrkirche St. Nikolaus",bis 1723,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1bfa1a45-21cf-4cc7-ba34-650669226a88,"Wechmar, Landhaus Studnitz","1626., 1722, 1748-1750",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1c85cc34-891a-458e-8cf3-0e1783a8e110,"Halle, ehem. Talamt",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1c87ecc3-bac5-4033-8ffd-3ddbf7e2c647,"Fischhausen, Burg Fischhausen",1690 Umbau,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1cfda599-894f-460f-942f-3e022e568d88,"Mannheim, Kurfürstliches Residenzschloss, Hofbibliothek","Datierung: 1754-1755, Zerstörung: 1943, Wiederherstellung: um 1960",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1d0b2ac1-84b0-41ad-a157-83fc0fc94b9e,"Bad Mergentheim, Hoch- und Deutschmeisterschloss",Ende 11. Jh. bis 1730,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1d10dd48-f91a-4dd3-9113-eea5605b5716,"Wismar, Lübsche Straße  56",1700–1720,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1e2d2204-e851-4484-a5d6-3d47d204039d,"Nürnberg, Pellerhaus, Schönes Zimmer, heute im Stadtmuseum Fembohaus",1602-1607,,http://vocab.getty.edu/aat/300004792
